0.744000,0.720000,0.832000,0.776000,0.856000,0.848000,0.784000,0.816000,0.832000
0.679775,0.662921,0.713483,0.455056,0.685393,0.691011,0.747191,0.719101,0.775281
0.843003,0.873720,0.819113,0.750853,0.863481,0.870307,0.894198,0.883959,0.887372
0.732194,0.772080,0.726496,0.783476,0.777778,0.766382,0.800570,0.792023,0.760684
0.767785,0.763758,0.766443,0.808054,0.802685,0.808054,0.801342,0.834899,0.808054
0.773504,0.794872,0.824786,0.427350,0.833333,0.863248,0.854701,0.863248,0.867521
0.883721,0.813953,0.651163,0.837209,0.883721,0.860465,0.930233,0.883721,0.790698
0.914454,0.911504,0.946903,0.917404,0.955752,0.958702,0.946903,0.952802,0.955752
0.629934,0.628289,0.572368,0.651316,0.629934,0.651316,0.669408,0.631579,0.654605
0.762615,0.787844,0.777523,0.791284,0.826835,0.825688,0.837156,0.821101,0.834862
0.733679,0.743005,0.784456,0.790674,0.781347,0.784456,0.800000,0.802073,0.809326
0.921875,0.843750,0.890625,0.734375,0.921875,0.921875,0.906250,0.859375,0.921875
0.888889,0.888889,0.777778,0.481481,0.851852,0.851852,0.851852,0.851852,0.851852
0.648649,0.630631,0.630631,0.612613,0.594595,0.594595,0.657658,0.630631,0.621622
0.850622,0.883817,0.912863,0.858921,0.933610,0.933610,0.925311,0.892116,0.933610
0.829545,0.849432,0.880682,0.832386,0.889205,0.889205,0.883523,0.835227,0.894886
0.713235,0.742647,0.746324,0.775735,0.753676,0.768382,0.753676,0.768382,0.731618
0.751634,0.761438,0.738562,0.771242,0.813725,0.810458,0.794118,0.781046,0.767974
0.740385,0.737179,0.669872,0.785256,0.801282,0.801282,0.810897,0.769231,0.772436
0.811989,0.822888,0.847411,0.852861,0.874659,0.888283,0.866485,0.863760,0.877384
0.961382,0.959350,0.973577,0.863821,0.971545,0.971545,0.969512,0.969512,0.971545
0.851852,0.777778,0.666667,0.592593,0.777778,0.703704,0.777778,0.740741,0.814815
0.681481,0.725926,0.711111,0.851852,0.748148,0.785185,0.740741,0.740741,0.762963
0.733945,0.697248,0.678899,0.825688,0.807339,0.816514,0.752294,0.788991,0.743119
0.878049,0.892683,0.897561,0.463415,0.917073,0.912195,0.931707,0.902439,0.921951
0.605128,0.635897,0.625641,0.656410,0.651282,0.671795,0.676923,0.666667,0.682051
0.574899,0.546559,0.611336,0.570850,0.595142,0.582996,0.603239,0.603239,0.619433
0.635294,0.652941,0.605882,0.600000,0.667647,0.702941,0.697059,0.694118,0.632353
0.703704,0.777778,0.555556,0.518519,0.703704,0.703704,0.703704,0.740741,0.777778
0.848485,0.878788,0.666667,0.696970,0.787879,0.757576,0.878788,0.939394,0.757576
0.818418,0.819068,0.809756,0.818039,0.838449,0.833956,0.826972,0.853067,0.852796
0.869253,0.870601,0.867559,0.847701,0.874598,0.873295,0.878726,0.893065,0.894369
0.844851,0.845922,0.884952,0.847576,0.870450,0.872007,0.840082,0.885536,0.884855
